date,location,plant_id,height_cm,short_stems,ft_stems,vigor,notes,inflorescences,fruits,avg_height,avg_width,zone,maternal_accession,lineage
1/16/20,Plover Area,219,26,1,2,3,,,,,,Ridge,B4001,1
1/16/20,Plover Area,220,33,9,2,2,,,,,,Ridge,A3015,3
1/16/20,Plover Area,221,28,5,3,2,,,,,,Slope,A3015,3
1/16/20,Plover Area,222,97,10,3,1,,,,,,Ridge,A2051,2
1/16/20,Plover Area,223,39,9,3,2,,,,,,Ridge,A2051,2
1/16/20,Plover Area,224,24,7,2,2,,,,,,Ridge,A2051,2
1/16/20,Plover Area,225,53,7,2,2,,,,,,Ridge,A3051,7
1/16/20,Plover Area,226,56,8,2,2,,,,,,Ridge,B29R,9
1/16/20,Plover Area,301,28,3,4,1,,,,,,Slope,A2051,2
1/16/20,Plover Area,302,48,8,2,2,,,,,,Slope,A3003,16
1/16/20,Plover Area,303,51,4,1,2,,,,,,Ridge,B4001,15
1/16/20,Plover Area,304,24,8,3,1,,,,,,Ridge,A3002,4
1/16/20,Plover Area,305,32,5,3,2,,,,,,Swale,B227,17
1/16/20,Plover Area,306,22,7,2,2,,,,,,Slope,A3002,4
1/16/20,Plover Area,307,10,7,2,2,,,,,,Swale,B227,17
1/16/20,Plover Area,308,25,6,3,2,,,,,,Ridge,B227,17
1/16/20,Plover Area,309,31,7,3,1,,,,,,Ridge,A3002,4
1/16/20,Plover Area,310,8,9,1,2,,,,,,Ridge,B4001,15
1/16/20,Plover Area,311,22,8,2,2,weedy,,,,,Slope,A3015,3
1/16/20,Plover Area,312,14,3,1,3,,,,,,Ridge,A3003,16
1/16/20,Plover Area,313,13,9,2,2,,,,,,Slope,A3015,3
1/16/20,Plover Area,314,24,10,2,2,,,,,,Ridge,B227,17
1/16/20,Plover Area,315,31,5,3,2,,,,,,Slope,A3002,4
