Sample ID,Maternal Line,Salinity ,Rhizobia (+/-),Germinated before planting,Germination Date,Date of planting,Soil Type,Soil autoclave,"Germinated 
after planting",N added,"Yellow leaves 
4/9/20","Yellow/dead leaves 
4/13/20","Yellow/dead leaves
4/16/20","Yellow/dead leaves
4/20/20","Yellow/dead leaves
4/22/20","Yellow leaves 
(didn't water)
5/4/20","Yellow leaves
5/6/20",Date,Category,"Total # of
leaves","Healthy leaves 
(# leaf - # leaf)",# weeds,"Small plants: 
notes","4th leaf:
state","4th leaf -
length (cm)","4th leaf:
# of leaflets","5th leaf:
state","5th leaf:
length (cm)","5th leaf:
# of leaflets","6th leaf:
state","6th leaf:
length (cm)","6th leaf:
# of leaflets","7th leaf:
state","7th leaf:
length (cm)","7th leaf:
# of leaflets","8th leaf:
state","8th leaf:
length (cm)","8th leaf:
# of leaflets","9th leaf:
state","9th leaf:
length (cm)","9th leaf:
# of leaflets",,,
99,A3,1,R,N,did not germinate,2/8/20,EEM,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
100,B,1,R,Y,2/10/20,2/8/20,EEM,-,,5/8/20,,,,,,,,5/29/20,big plant,9,5-9,0,,dead,na,na,"yellow-green, brown tip",7,19,yellow-green,7.9,23,green,6.3,28,green,6.7,30,,,,,,
101,A3,50,R,Y,2/22/20,2/19/20,potting soil,-,,5/8/20,,,,,,,,5/29/20,small plant,6,5-6,0,,,,,,,,,,,,,,,,,,,,,,
102,B,0,R,N,did not germinate,2/19/20,potting soil,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
103,B,0,R,N,did not germinate,2/19/20,potting soil,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
104,B,1,R,Y,2/23/20,2/19/20,potting soil,-,,5/8/20,,,,,,,,5/29/20,big plant,7,5-7,0,,dead,na,na,yellow-green,7.8,17,green,7.1,21,,,,,,,,,,,,
105,A3,10,-,Y,2/25/20,2/19/20,potting soil,-,,5/8/20,,,1/5 yellow,1/5 dead,,,,5/29/20,big plant,7,6-7,0,,dead,na,na,dead,na,na,"green, wilting",6.3,26,,,,,,,,,,,,
106,A3,50,R,N,did not germinate,2/19/20,plover,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
107,B,1,R,Y,2/22/20,2/19/20,plover,-,,5/8/20,,,,,,,,5/29/20,small plant,6,4-6,0,,,,,,,,,,,,,,,,,,,,,,
108,A2,50,-,N,did not germinate,2/19/20,plover,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
109,B,1,R,N,did not germinate,2/19/20,plover,-,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
110,A3,10,-,Y,2/23/20,2/19/20,plover,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,1,,,,,,,,,,,,,,,,,,,,,,
111,A3,50,R,Y,2/22/20,2/19/20,iris,-,,5/8/20,,,,,,,1 yellow,5/29/20,big plant,8,5-8,0,,dead,na,na,"green, wilting",7.7,11,"green, wilting",7.2,15,green,6.1,19,,,,,,,,,
112,A2,50,-,N,did not germinate,2/19/20,iris,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
113,B,0,R,Y,2/22/20,2/19/20,iris,-,,5/8/20,,,,,,,,5/29/20,small plant,4,1-4,0,,,,,,,,,,,,,,,,,,,,,,
114,B,1,R,N,did not germinate,2/19/20,iris,-,Check photo,5/8/20,,,,,,,,5/29/20,small plant,,,,Check photo,,,,,,,,,,,,,,,,,,,,,
115,A3,10,-,N,did not germinate,2/19/20,iris,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
116,B,10,-,Y,2/12/20,2/8/20,EEM,-,,added 5/8/20,2/5,2/6 dead,2/6 dead,"1/6 yellow, 1/6 dead",,,,5/29/20,big plant,8,7-8,0,,dead,na,na,dead,na,na,dead,na,na,green,4.5,31,,,,,,,,,
117,A2,1,-,Y,2/10/20,2/8/20,EEM,-,,5/8/20,2/5,2/6 yellow,2/6 dead,2/6 dead,,,,5/29/20,big plant,8,5-8,0,,dead,na,na,yellow-green,9.5,18,yellow-green,9.2,24,green,7.7,31,,,,,,,,,
118,B,10,R,Y,2/22/20,2/19/20,potting soil,-,,4/22/20,,3/6 yellow,2/6 yellow,"2/6 yellow, 1/6 dead","1/6 yellow, 1/6 dead",,,5/29/20,big plant,8,7-8,0,,dead,na,na,dead,na,na,dead,na,na,green,5.7,28,,,,,,,,,
119,B,1,-,Y,2/22/20,2/19/20,potting soil,-,,4/22/20,1/5,1/5 dead,"1/5 yellow, 1/5 dead",2/6 dead,2/6 dead,1 yellow,,5/29/20,big plant,8,6-8,0,,dead,na,na,dead,na,na,gray-green,6,27,green,5.6,31,,,,,,,,,
120,A3,50,-,Y,2/23/20,2/19/20,potting soil,-,,4/22/20,,1/5 yellow,1/5 yellow,"1/5 yellow, 1/5 dead","1/5 yellow, 1/5 dead",1 yellow,,5/29/20,small plant,6,5-6,0,,,,,,,,,,,,,,,,,,,,,,
121,B,10,-,N,did not germinate,2/19/20,potting soil,-,,4/22/20,,,,,1/6 yellow,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
122,A3,100,-,N,did not germinate,2/19/20,potting soil,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
123,A2,1,-,N,did not germinate,2/19/20,plover,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
124,B,1,-,N,did not germinate,2/19/20,plover,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
125,A3,50,-,N,did not germinate,2/19/20,plover,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
126,B,10,-,N,did not germinate,2/19/20,plover,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
127,A3,100,-,Y,2/22/20,2/19/20,plover,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,1,,,,,,,,,,,,,,,,,,,,,,
128,A2,1,-,Y,2/25/20,2/19/20,iris,-,,5/8/20,,,,,,,,5/29/20,big plant,7,5-7,0,,dead,na,na,gray-green,8.3,17,green,6.1,26,,,,,,,,,,,,
129,A2,10,-,Y,2/22/20,2/19/20,iris,-,,5/8/20,,,,,,,,5/29/20,big plant,7,5-7,0,,dead,na,na,"gray-green, wilting",7.4,17,green,5.8,28,,,,,,,,,,,,
130,A3,1,-,N,did not germinate,2/19/20,iris,-,Yes,,,,,,,,,5/29/20,small plant,3,1-3,0,,,,,,,,,,,,,,,,,,,,,,
131,A3,0,-,Y,2/23/20,2/19/20,iris,-,,5/8/20,,,,,,,,5/29/20,small plant,6,4-6,1,,,,,,,,,,,,,,,,,,,,,,
132,A3,0,R,Y,2/22/20,2/19/20,iris,-,,5/8/20,,,,,,,,5/29/20,small plant,3,1-3,0,,,,,,,,,,,,,,,,,,,,,,
133,A2,50,R,Y,2/10/20,2/8/20,EEM,-,,4/22/20,2/5,2/6 dead,"1/6 yellow, 2/6 dead","2/6 yellow, 2/6 dead","1/6 yellow, 2/6 dead",,,5/29/20,big plant,9,7-9,1,,dead,na,na,dead,na,na,dead,na,na,gray-green,6.6,32,green,6.2,33,,,,,,
134,A2,50,R,Y,2/10/20,2/8/20,EEM,-,,4/22/20,1/5,"1/6 yellow, 2/6 dead","1/6 yellow, 2/6 dead",3/6 dead,3/6 dead,,,5/29/20,big plant,9,6-9,0,,dead,na,na,dead,na,na,yellow-green,7.8,23,green,6.4,29,green,6.6,31,,,,,,
135,B,100,R,Y,2/23/20,2/19/20,potting soil,-,,added 5/8/20,,1/5 yellow,1/5 yellow,"1/6 yellow, 1/6 dead","1/6 yellow, 1/6 dead",,,5/29/20,big plant,8,"4, 6-8",0,,"green, brown tip",7.5,13,dead,na,na,green,6,27,green,5.4,29,,,,,,,,,
136,B,100,R,N,did not germinate,2/19/20,plover,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
137,A3,100,R,Y,2/22/20,2/19/20,iris,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,1,,,,,,,,,,,,,,,,,,,,,,
138,B,50,R,Y,2/10/20,2/8/20,EEM,-,,4/22/20,,,1/6 yellow,"1/6 yellow, 1/6 dead","1/6 yellow, 1/6 dead",,,5/29/20,big plant,9,7-9,0,,dead,na,na,dead,na,na,dead,na,na,green,7.8,30,green,7.2,31,,,,,,
139,B,0,-,Y,2/14/20,2/8/20,EEM,-,,4/22/20,,2/6 dead,3/6 dead,3/6 dead,3/7 dead,,,5/29/20,big plant,9,8-9,0,,dead,na,na,dead,na,na,dead,na,na,dead,na,na,green,4.8,33,,,,,,
140,A2,50,-,Y,2/10/20,2/8/20,EEM,-,,5/8/20,,,,,,,,5/29/20,big plant,8,4-8,0,,yellow-green,7,13,green,7.4,15,green,7.4,20,green,7,25,,,,,,,,,
141,A2,50,-,Y,2/12/20,2/8/20,EEM,-,,5/8/20,,,,,,,,5/29/20,big plant,7,5-7,0,,dead,na,na,yellow-green,8.1,17,green,6.6,19,,,,,,,,,,,,
142,A2,100,-,Y,2/12/20,2/8/20,EEM,-,,5/8/20,,,,,,,,5/29/20,small plant,5,1-5,1,,,,,,,,,,,,,,,,,,,,,,
143,A2,100,-,Y,2/10/20,2/8/20,EEM,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,A3,0,R,Y,2/2/20,1/31/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,1,,,,,,,,,,,,,,,,,,,,,,
145,A3,0,-,N,did not germinate,1/31/20,iris,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
146,A2,50,R,N,did not germinate,1/31/20,plover,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
147,A2,50,R,N,did not germinate,1/31/20,potting soil,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
148,A2,0,-,Y,2/2/20,1/31/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,1,,,,,,,,,,,,,,,,,,,,,,
149,A2,50,-,N,did not germinate,1/31/20,iris,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
150,A3,100,R,N,did not germinate,1/31/20,plover,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
151,A3,100,R,N,did not germinate,1/31/20,potting soil,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
152,A3,100,-,Y,2/2/20,1/31/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,1,,,,,,,,,,,,,,,,,,,,,,
153,A3,1,-,N,did not germinate,1/31/20,iris,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
154,A3,1,-,N,did not germinate,1/31/20,plover,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,1,,,,,,,,,,,,,,,,,,,,,,
155,A3,1,-,N,did not germinate,1/31/20,potting soil,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
156,B,100,-,N,did not germinate,1/31/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
157,A3,50,R,Y,2/2/20,1/31/20,iris,-,,added 5/8/20,,,,,,,,5/29/20,small plant,6,5-6,0,,,,,,,,,,,,,,,,,,,,,,
158,A3,50,R,N,did not germinate,1/31/20,plover,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
159,A3,50,R,N,did not germinate,1/31/20,potting soil,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
160,B,100,R,N,did not germinate,1/31/20,EEM,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,1,,,,,,,,,,,,,,,,,,,,,,
161,A3,10,R,N,did not germinate,1/31/20,iris,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
162,A3,10,R,N,did not germinate,1/31/20,plover,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
163,A3,10,R,Y,2/2/20,1/31/20,potting soil,-,,4/22/20,,"2/6 yellow, 1/6 dead","1/6 yellow, 2/6 dead",3/6 dead,3/6 dead,,,5/29/20,big plant,7,6-7,0,,dead,na,na,dead,na,na,yellow,5.1,25,,,,,,,,,,,,
164,B,50,-,N,,3/10/20,potting soil,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
165,B,0,R,N,,3/10/20,plover,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
166,B,50,-,N,,3/10/20,iris,a+,,added 5/8/20,,,,,,,,5/29/20,small plant,4,1-4,0,,,,,,,,,,,,,,,,,,,,,,
167,A2,100,R,N,,3/10/20,EEM,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
168,A3,1,R,N,,3/10/20,potting soil,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
169,B,0,-,N,,3/10/20,plover,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
170,A2,1,-,N,,3/10/20,iris,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
171,A3,10,R,N,,3/10/20,EEM,a+,,added 5/8/20,,,,,,,,5/29/20,small plant,5,1-5,0,,,,,,,,,,,,,,,,,,,,,,
172,A3,100,-,N,,3/10/20,potting soil,a+,,added 5/8/20,,,,,,1 yellow,1 yellow,5/29/20,small plant,6,4-6,0,,,,,,,,,,,,,,,,,,,,,,
173,A3,50,-,N,,3/10/20,plover,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
174,A3,10,-,Y,3/13/20,3/10/20,iris,a+,,added 5/8/20,,,,,,,,5/29/20,small plant,6,1-6,0,,,,,,,,,,,,,,,,,,,,,,
175,B,100,-,N,,3/10/20,EEM,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
176,A2,50,R,N,,3/10/20,potting soil,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
177,A3,1,-,N,,3/10/20,plover,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
178,B,100,R,N,,3/10/20,iris,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
179,A3,100,-,N,,3/10/20,EEM,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
180,A3,100,R,N,,3/10/20,potting soil,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
181,B,50,-,N,,3/10/20,plover,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
182,A3,1,R,Y,3/13/20,3/10/20,iris,a+,,added 5/8/20,,,,,,,,5/29/20,small plant,6,2-6,0,,,,,,,,,,,,,,,,,,,,,,
183,B,0,-,N,,3/10/20,EEM,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
184,B,50,-,N,,3/10/20,potting soil,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
185,B,0,-,N,,3/10/20,plover,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
186,A2,1,-,N,,3/10/20,iris,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
187,A3,100,R,N,,3/10/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
188,A3,100,-,N,,3/10/20,potting soil,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
189,B,0,R,N,,3/10/20,plover,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
190,A3,1,R,N,,3/10/20,iris,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
191,A3,100,-,N,,3/10/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
192,B,0,R,N,,3/10/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,1,,,,,,,,,,,,,,,,,,,,,,
193,A3,0,R,Y,2/12/20,2/8/20,EEM,-,,4/22/20,,1/5 dead,"1/5 yellow, 1/5 dead","1/6 yellow, 2/6 dead","1/5 yellow, 1/5 dead",,,5/29/20,big plant,7,5-7,0,,dead,na,na,yellow,5.2,19,yellow-green,5.4,23,,,,,,,,,,,,
194,A2,100,R,Y,2/12/20,2/8/20,EEM,-,,4/22/20,,,2/5 yellow,"1/6 yellow, 1/6 dead","1/6 yellow, 2/6 dead",,,5/29/20,big plant,7,4-7,0,,yellow-green,7.3,15,green,5.5,17,green,4.6,21,,,,,,,,,,,,
195,A3,1,-,Y,2/14/20,2/8/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,big plant,8,6-8,0,,dead,na,na,dead,na,na,yellow,6.4,21,green,6.2,25,,,,,,,,,
196,B,1,-,Y,2/12/20,2/8/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,big plant,7,4-7,0,,yellow-green,7.7,12,yellow-green,7,14,green,5.4,19,,,,,,,,,,,,
197,B,50,R,Y,2/25/20,2/19/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
198,B,50,-,Y,2/25/20,2/19/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,small plant,5,4-5,0,,,,,,,,,,,,,,,,,,,,,,
199,A3,10,R,Y,2/10/20,2/8/20,EEM,-,,,,,,,,,,5/29/20,big plant,8,5-8,0,,dead,na,na,yellow,6.7,18,green,6,23,green,5.9,29,,,,,,,,,
200,A3,100,-,Y,2/12/20,2/8/20,EEM,-,,4/22/20,,"1/6 yellow, 2/6 dead","1/6 yellow, 2/6 dead",3/7 dead,"1/7 yellow, 3/7 dead",,,5/29/20,big plant,9,7-9,0,,dead,dead,na,na,dead,na,na,dead,na,na,"green, wilted",5.3,29,"green, wilted",5.2,31,,,,,
201,B,50,R,Y,2/22/20,2/19/20,EEM,-,,added 5/8/20,,,,,,1 yellow,1 yellow,5/29/20,big plant,7,5-7,0,,dead,na,na,green,7.3,21,green,6.5,26,,,,,,,,,,,,
202,A3,0,R,Y,2/25/20,2/19/20,EEM,-,,4/22/20,,,1/5 yellow,2/6 dead,"1/6 yellow, 2/6 dead",,,5/29/20,big plant,8,6-8,0,,dead,na,na,dead,na,na,green,6.4,26,green,6.2,29,,,,,,,,,
203,A3,0,R,Y,2/25/20,2/19/20,EEM,-,,4/22/20,,1/6 dead,"1/6 yellow, 1/6 dead","1/5 yellow, 1/5 dead","1/5 yellow, 1/5 dead",1 yellow,1 yellow,5/29/20,big plant,7,5-7,0,,dead,na,na,yellow,6.5,21,green,6.6,29,,,,,,,,,,,,
204,B,1,R,Y,2/22/20,2/19/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
205,B,10,R,Y,2/22/20,2/19/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
206,A2,50,-,Y,2/22/20,2/19/20,EEM,-,,,,,,,,,,5/29/20,big plant,7,5-7,0,,dead,na,na,yellow-green,7.7,17,green,6.5,21,,,,,,,,,,,,
207,B,0,R,Y,2/23/20,2/19/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,small plant,6,4-6,0,,,,,,,,,,,,,,,,,,,,,,
208,A3,10,-,Y,2/25/20,2/19/20,EEM,-,,4/22/20,,1/5 yellow,1/5 yellow,1/6 yellow,2/6 yellow,,,5/29/20,big plant,8,5-8,0,,dead,na,na,green,7,19,green,6.3,25,green,7.5,29,,,,,,,,,
209,A2,1,-,Y,2/22/20,2/19/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
210,A2,100,-,Y,2/23/20,2/19/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,big plant,7,5-7,0,,dead,na,na,green,7.6,18,green,7,23,,,,,,,,,,,,
211,A3,0,R,Y,2/22/20,2/19/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,big plant,7,5-7,0,,dead,na,na,"green, wilting",7.6,15,green,6.7,18,,,,,,,,,,,,
212,A3,0,-,Y,2/25/20,2/19/20,EEM,-,,4/22/20,,2/6 yellow,2/6 yellow,2/6 dead,"1/6 yellow, 2/6 dead",,,5/29/20,big plant,8,5-8,0,,dead,na,na,yellow,6.3,19,green,6.4,25,green,6.2,28,,,,,,,,,
213,B,100,-,Y,2/23/20,2/19/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,1,,,,,,,,,,,,,,,,,,,,,,
214,A2,100,-,Y,2/22/20,2/19/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,big plant,8,5-8,1,,dead,na,na,green,7.6,15,green,7.2,19,green,7,24,,,,,,,,,
215,A2,0,-,N,,3/12/20,iris,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
216,A2,0,-,N,,3/12/20,iris,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
217,A3,0,-,N,,3/12/20,potting soil,a+,,,,,,,,,,5/29/20,small plant,4,4,0,,,,,,,,,,,,,,,,,,,,,,
218,A3,0,-,N,,3/12/20,potting soil,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
219,A3,0,-,N,,3/12/20,potting soil,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
220,A3,0,R,N,,3/12/20,EEM,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
221,A3,0,R,N,,3/12/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
222,B,0,-,N,,3/12/20,plover,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
223,A2,0,R,N,,3/12/20,EEM,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
224,B,0,R,N,,3/12/20,plover,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
225,B,1,-,N,,3/12/20,potting soil,a+,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
226,B,1,-,N,,3/12/20,plover,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
227,A3,1,R,N,,3/12/20,iris,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
228,A2,1,-,N,,3/12/20,iris,-,,,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
229,B,1,R,N,,3/12/20,iris,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
230,B,10,R,N,,3/12/20,potting soil,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
231,A2,10,-,N,,3/12/20,EEM,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
232,A3,10,R,N,,3/12/20,plover,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
233,B,10,-,N,,3/12/20,plover,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
234,A2,10,R,N,,3/12/20,EEM,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
235,B,50,R,N,,3/12/20,potting soil,a+,,added 5/8/20,,,,,,1 yellow,1 yellow,5/29/20,small plant,6,4-6,0,,,,,,,,,,,,,,,,,,,,,,
236,B,50,-,N,,3/12/20,iris,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
237,A2,50,R,N,,3/12/20,iris,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
238,A3,50,-,N,,3/12/20,potting soil,a+,,added 5/8/20,,,,,,,,5/29/20,small plant,3,1-3,0,,,,,,,,,,,,,,,,,,,,,,
239,A3,50,R,N,,3/12/20,EEM,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
240,A3,100,R,N,,3/12/20,plover,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
241,A2,100,-,N,,3/12/20,plover,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
242,A2,100,R,N,,3/12/20,EEM,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
243,B,100,-,N,,3/12/20,potting soil,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
244,B,100,R,N,,3/12/20,iris,a+,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
245,A3,10,R,N,,3/12/20,plover,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
246,A2,10,-,N,,3/12/20,EEM,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,1,,,,,,,,,,,,,,,,,,,,,,
247,B,10,R,N,,3/12/20,potting soil,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
248,A3,1,-,N,,3/12/20,iris,-,,added 5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
